epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,3084.44,0.59216,1.13057,0.87546,1.05273,0,0.63796,0.76728,0.75366,0.63269,0.64225,0.75958,0.75095,0.62622,0.65065,1.35903,1.00878,1.12533,0,0.00022148,0.00022148,0.00022148
29,3193.27,0.58912,1.10074,0.86566,1.05295,0,0.65104,0.78037,0.7646,0.63936,0.65639,0.77362,0.76118,0.63843,0.64244,1.34117,0.989,1.11959,0,0.000206123,0.000206123,0.000206123
30,3301.87,0.57457,1.08592,0.82916,1.0411,0,0.68569,0.74075,0.7667,0.64143,0.68171,0.73699,0.76058,0.6336,0.63379,1.33044,0.97014,1.10511,0,0.000190949,0.000190949,0.000190949
31,3410.33,0.58134,1.10262,0.83405,1.04852,0,0.71806,0.74364,0.78515,0.65833,0.71802,0.74378,0.78232,0.65672,0.63595,1.31194,0.93719,1.10953,0,0.000176018,0.000176018,0.000176018
32,3517.86,0.56777,1.06915,0.81359,1.03572,0,0.64976,0.7802,0.75343,0.63798,0.65975,0.76586,0.74771,0.6313,0.64144,1.32156,1.00738,1.11508,0,0.000161389,0.000161389,0.000161389
33,3626.55,0.57801,1.08998,0.81046,1.04107,0,0.6963,0.74787,0.77347,0.65106,0.69379,0.74218,0.7694,0.64564,0.62998,1.3495,0.9576,1.09429,0,0.00014712,0.00014712,0.00014712
34,3733.36,0.56655,1.08189,0.79341,1.03702,0,0.6627,0.75692,0.76447,0.64162,0.6692,0.74437,0.75709,0.63517,0.64119,1.31088,1.00697,1.10577,0,0.000133266,0.000133266,0.000133266
35,3842.48,0.56171,1.052,0.78476,1.03301,0,0.68082,0.7544,0.77608,0.66027,0.68181,0.75231,0.77566,0.65183,0.6282,1.33368,0.95392,1.10322,0,0.000119883,0.000119883,0.000119883
36,3950.43,0.55442,1.05486,0.77131,1.03087,0,0.67285,0.75775,0.78027,0.66727,0.67155,0.75895,0.77819,0.65893,0.61648,1.32955,0.94652,1.08811,0,0.000107023,0.000107023,0.000107023
37,4060.8,0.55165,1.04204,0.76127,1.0277,0,0.70179,0.76021,0.78346,0.6652,0.71294,0.756,0.78232,0.66204,0.6212,1.30523,0.93721,1.09676,0,9.47376e-05,9.47376e-05,9.47376e-05
38,4169.03,0.54578,1.02209,0.74323,1.02605,0,0.72661,0.75981,0.79034,0.66978,0.722,0.76247,0.78562,0.66497,0.61872,1.29003,0.9211,1.08648,0,8.30746e-05,8.30746e-05,8.30746e-05
39,4275.8,0.55127,1.02831,0.75091,1.0317,0,0.7246,0.74303,0.78527,0.67047,0.69711,0.76934,0.78326,0.66653,0.6237,1.30121,0.928,1.09522,0,7.20803e-05,7.20803e-05,7.20803e-05
40,4383.84,0.54293,1.01612,0.74422,1.02412,0,0.73094,0.747,0.77982,0.66482,0.73388,0.75109,0.7795,0.65931,0.62157,1.32877,0.93184,1.09861,0,6.1798e-05,6.1798e-05,6.1798e-05
41,4486.91,0.50427,0.96847,0.7024,1.02787,0,0.70653,0.7875,0.79939,0.67878,0.71963,0.77381,0.79532,0.67133,0.62388,1.30703,0.90998,1.0985,0,5.22683e-05,5.22683e-05,5.22683e-05
42,4584.32,0.493,0.92417,0.65892,1.01723,0,0.71484,0.77777,0.80369,0.68527,0.71387,0.77271,0.79981,0.67677,0.6194,1.30674,0.91028,1.0964,0,4.35288e-05,4.35288e-05,4.35288e-05
43,4679.37,0.48589,0.91272,0.62232,1.01171,0,0.72313,0.75849,0.80214,0.68576,0.73364,0.75445,0.79862,0.67889,0.61798,1.2991,0.90321,1.09609,0,3.56141e-05,3.56141e-05,3.56141e-05
44,4776.78,0.47862,0.90764,0.6243,1.00828,0,0.72704,0.75686,0.7977,0.68689,0.72748,0.75701,0.79727,0.67543,0.61964,1.29501,0.90993,1.09708,0,2.85553e-05,2.85553e-05,2.85553e-05
45,4874.23,0.48054,0.90542,0.60996,1.0098,0,0.71989,0.76546,0.79883,0.68735,0.72285,0.76805,0.79821,0.67541,0.6179,1.30132,0.90878,1.09347,0,2.23803e-05,2.23803e-05,2.23803e-05
46,4970.23,0.47299,0.89226,0.60349,1.00052,0,0.73604,0.7617,0.80055,0.6901,0.74571,0.75167,0.79887,0.68031,0.61636,1.30073,0.90831,1.09335,0,1.71135e-05,1.71135e-05,1.71135e-05
47,5067.72,0.47372,0.88213,0.59862,1.00059,0,0.70267,0.7964,0.80188,0.6878,0.69976,0.79788,0.80088,0.67712,0.61544,1.30852,0.90991,1.0932,0,1.27757e-05,1.27757e-05,1.27757e-05
48,5164.68,0.46883,0.88162,0.58362,0.99958,0,0.71086,0.78606,0.80259,0.68897,0.70862,0.78591,0.8019,0.67881,0.61462,1.29982,0.91254,1.09384,0,9.38391e-06,9.38391e-06,9.38391e-06
49,5259.93,0.46093,0.87015,0.59354,0.99201,0,0.71152,0.78211,0.79907,0.68706,0.71071,0.78233,0.79915,0.67714,0.61681,1.29776,0.91448,1.09666,0,6.95161e-06,6.95161e-06,6.95161e-06
50,5357.35,0.46858,0.87695,0.58674,0.99988,0,0.71381,0.78958,0.80209,0.69081,0.71269,0.79047,0.80098,0.68087,0.61462,1.29731,0.91243,1.09397,0,5.48838e-06,5.48838e-06,5.48838e-06
